KN805708.1	219533	219583	1	0.170583	10	0.00044	0.0014	0.86833	0.69775
KN805709.1	305736	305963	1	0.130083	10	0.21	0.38	0.71233	0.58225
KN805728.1	207159	207606	1	0.107167	10	0.00085	0.0046	0.87267	0.7655
KN805729.1	309396	309528	1	0.134667	10	0.00055	0.00096	0.79967	0.665
KN805732.1	217850	217880	1	-0.119500	10	0.035	0.026	0.589	0.7085
KN805735.1	340097	340127	1	-0.116500	10	0.038	0.045	0.591	0.7075
KN805741.1	352042	352299	1	0.124833	10	0.039	0.12	0.68133	0.5565
KN805748.1	236584	236614	1	-0.117750	10	0.042	0.045	0.587	0.70475
KN805748.1	400360	400428	1	-0.374917	10	0.00031	0.0014	0.11633	0.49125
KN805749.1	410742	410800	1	-0.167583	10	0.0006	0.027	0.21567	0.38325
KN805750.1	448603	448771	1	-0.149015	11	0.012	0.08	0.34758	0.49659
KN805751.1	170240	170270	1	-0.102750	10	0.045	0.05	0.603	0.70575
KN805758.1	499983	500290	1	0.126417	10	0.018	0.15	0.75367	0.62725
KN805760.1	276096	276145	1	-0.103333	13	0.042	0.05	0.60359	0.70692
KN805763.1	177560	177613	1	-0.102500	15	0.054	0.044	0.582	0.6845
KN805768.1	455226	455300	1	0.105333	10	0.073	0.21	0.74533	0.64
KN805781.1	176740	176776	1	-0.207833	10	7e-05	0.0011	0.31167	0.5195
KN805783.1	71584	71695	1	-0.166905	14	0.0017	0.032	0.4231	0.59
KN805783.1	72192	72281	1	-0.287222	12	2.6e-05	0.00097	0.42694	0.71417
KN805787.1	187744	188034	1	0.192083	10	0.0011	0.0057	0.73833	0.54625
KN805787.1	279604	279634	1	-0.115417	10	0.062	0.046	0.58733	0.70275
KN805796.1	321663	321726	1	-0.123583	10	0.066	0.13	0.79067	0.91425
KN805806.1	360931	361179	1	0.162833	10	0.0023	0.02	0.78333	0.6205
KN805808.1	144625	144655	1	-0.116083	10	0.037	0.045	0.58867	0.70475
KN805809.1	81767	81849	1	-0.104500	10	0.046	0.16	0.016	0.1205
KN805813.1	269107	269143	1	-0.152417	10	0.014	0.01	0.37633	0.52875
KN805815.1	285408	285585	1	-0.136154	13	0.24	0.23	0.57538	0.71154
KN805817.1	250891	250921	1	-0.121417	10	0.028	0.026	0.60133	0.72275
KN805822.1	630035	630348	1	-0.130764	12	0.32	0.082	0.62944	0.76021
KN805823.1	318110	318455	1	-0.120083	10	0.026	0.18	0.25567	0.37575
KN805827.1	257952	258211	1	0.106750	10	0.0042	0.025	0.85	0.74325
KN805831.1	320960	321046	1	0.168947	19	4.5e-05	5.4e-05	0.84421	0.67526
KN805835.1	270870	270906	1	-0.131500	10	0.0073	0.042	0.205	0.3365
KN805837.1	92978	93197	1	-0.157500	10	0.015	0.046	0.211	0.3685
KN805841.1	236279	236579	1	-0.103958	16	0.09	0.075	0.44792	0.55188
KN805850.1	330319	330551	1	-0.123205	13	0.19	0.58	0.044872	0.16808
KN805854.1	380229	380393	1	0.100417	10	0.0027	0.003	0.79667	0.69625
KN805855.1	158038	158356	1	0.129606	36	4e-06	0.00094	0.68509	0.55549
KN805855.1	236492	236574	1	0.195060	14	1.9e-07	0.00012	0.91881	0.72375
KN805860.1	418172	418551	1	0.104028	12	0.0069	0.061	0.85611	0.75208
KN805868.1	205767	205852	1	-0.122045	11	0.06	0.23	0.66727	0.78932
KN805872.1	27144	27190	1	0.234333	10	0.015	0.071	0.38333	0.149
KN805873.1	22022	22069	1	0.167167	10	0.0028	0.005	0.86567	0.6985
KN805873.1	89574	90074	1	0.128750	10	0.0014	0.0036	0.857	0.72825
KN805881.1	212878	212921	1	-0.188833	10	0.00026	0.016	0.47967	0.6685
KN805888.1	332818	332873	1	0.115083	10	0.48	0.25	0.32233	0.20725
KN805902.1	293315	293537	1	0.142500	10	0.0026	0.0062	0.837	0.6945
KN805906.1	316871	317300	1	-0.159833	10	0.14	0.38	0.62967	0.7895
KN805917.1	117844	118167	1	-0.175417	10	0.00089	0.01	0.18933	0.36475
KN805921.1	7284	7504	1	0.117917	10	0.0059	0.069	0.81667	0.69875
KN805929.1	135501	135601	1	-0.126439	11	0.028	0.08	0.063333	0.18977
KN805930.1	162143	162241	1	-0.143083	10	0.036	0.25	0.68067	0.82375
KN805939.1	61113	61165	1	-0.205167	10	0.0017	0.0077	0.16433	0.3695
KN805944.1	61903	62253	1	0.157250	10	0.0093	0.042	0.249	0.09175
KN805944.1	69834	70188	1	-0.183646	24	0.00018	0.0025	0.19792	0.38156
KN805954.1	306209	306575	1	-0.124318	11	0.024	0.041	0.28	0.40432
KN805955.1	176900	177002	1	-0.115917	10	0.034	0.084	0.11133	0.22725
KN805955.1	225774	225881	1	0.150449	13	0.16	0.039	0.21026	0.059808
KN805993.1	1138872	1139051	1	0.237250	10	0.0076	0.033	0.672	0.43475
KN806004.1	215513	215543	1	-0.122083	10	0.026	0.026	0.60067	0.72275
KN806006.1	92297	92651	1	0.166083	10	0.03	0.3	0.83933	0.67325
KN806012.1	106462	106492	1	-0.116083	10	0.04	0.045	0.59067	0.70675
KN806022.1	190662	190697	1	0.102417	10	0.041	0.38	0.19267	0.09025
KN806027.1	94337	94367	1	-0.120667	10	0.038	0.045	0.59033	0.711
KN806050.1	167318	167655	1	-0.108333	12	0.13	0.35	0.58167	0.69
KN806058.1	33658	33711	1	-0.117556	15	0.037	0.086	0.58578	0.70333
KN806067.1	47610	47829	1	0.137417	10	0.013	0.027	0.71967	0.58225
KN806069.1	87145	87175	1	-0.116167	10	0.038	0.045	0.59033	0.7065
KN806072.1	46825	46863	1	0.177250	10	0.0012	0.024	0.871	0.69375
KN806072.1	171269	171393	1	0.128917	10	0.0021	0.00046	0.76567	0.63675
KN806096.1	180411	180516	1	0.103750	12	0.0052	0.044	0.76417	0.66042
KN806097.1	70456	70486	1	-0.116333	10	0.04	0.045	0.59067	0.707
KN806121.1	21409	21476	1	0.173636	11	8.7e-06	0.0015	0.89273	0.71909
KN806138.1	50534	50785	1	0.139500	10	0.00031	0.0023	0.807	0.6675
KN806138.1	140643	140679	1	-0.163667	10	0.0038	0.027	0.27333	0.437
KN806142.1	52626	53020	1	0.150917	10	0.0059	0.059	0.82367	0.67275
KN806154.1	22789	23305	1	0.101333	10	0.032	0.12	0.75033	0.649
KN806161.1	118498	118557	1	0.265556	12	5.1e-05	0.00091	0.85306	0.5875
KN806169.1	173366	173413	1	-0.153846	13	0.0015	0.049	0.32077	0.47462
KN806188.1	132533	132837	1	0.104375	12	0.0085	0.016	0.78667	0.68229
KN806194.1	2162	2206	1	0.117179	13	0.072	0.3	0.72872	0.61154
KN806195.1	63573	63634	1	-0.132564	13	0.0042	0.048	0.22128	0.35385
KN806195.1	63640	63740	1	-0.122833	10	0.04	0.22	0.32467	0.4475
KN806196.1	80730	80928	1	0.154423	13	0.038	0.13	0.36385	0.20942
KN806200.1	29920	29984	1	0.223250	10	0.00023	0.0098	0.894	0.67075
KN806204.1	40654	40956	1	0.125250	10	0.012	0.071	0.824	0.69875
KN806207.1	104012	104042	1	-0.201167	10	0.00017	0.0079	0.18633	0.3875
KN806231.1	39470	39923	1	0.156667	10	0.0036	0.0025	0.78567	0.629
KN806253.1	127869	127950	1	0.130156	16	5.1e-05	0.013	0.85188	0.72172
KN806260.1	49179	49251	1	-0.205917	10	0.00034	0.0014	0.051333	0.25725
KN806268.1	36468	36555	1	-0.161250	12	0.044	0.13	0.61583	0.77708
KN806275.1	73727	73908	1	0.110750	10	0.22	0.58	0.776	0.66525
KN806288.1	129772	129999	1	-0.109500	10	0.12	0.14	0.341	0.4505
KN806289.1	65876	66120	1	-0.110750	10	0.51	0.36	0.055	0.16575
KN806313.1	491143	491201	1	-0.144583	10	0.031	0.06	0.14667	0.29125
KN806323.1	81719	81749	1	-0.103833	10	0.028	0.011	0.62067	0.7245
KN806345.1	126683	126765	1	0.124583	10	0.0063	0.098	0.81933	0.69475
KN806364.1	125847	125907	1	0.101272	19	0.015	0.054	0.85509	0.75382
KN806365.1	6614	6878	1	-0.226818	11	0.026	0.042	0.53364	0.76045
KN806374.1	118535	118594	1	-0.247667	10	0.0081	0.016	0.49433	0.742
KN806377.1	71860	72217	1	0.124917	10	0.0014	0.028	0.80367	0.67875
KN806419.1	5980	6678	1	0.107963	18	0.0035	0.042	0.79796	0.69
KN806442.1	33034	33140	1	0.146333	10	0.00032	0.0051	0.87133	0.725
KN806446.1	150563	150834	1	-0.169750	10	0.099	0.17	0.412	0.58175
KN806457.1	5130	5420	1	-0.154643	14	0.015	0.054	0.52929	0.68393
KN806466.1	1047	1344	1	-0.166597	12	0.019	0.076	0.37611	0.54271
KN806467.1	82358	82501	1	0.123000	15	0.0079	0.15	0.76133	0.63833
KN806473.1	60765	61263	1	-0.130417	10	0.18	0.25	0.51433	0.64475
KN806513.1	49106	49237	1	-0.123526	13	0.16	0.23	0.52359	0.64712
KN806520.1	58283	58425	1	0.109635	16	0.0022	0.041	0.79604	0.68641
KN806528.1	41896	41950	1	-0.197986	12	0.12	0.06	0.57722	0.77521
KN806560.1	57671	57713	1	0.108636	11	1.5e-05	0.0019	0.92455	0.81591
KN806566.1	7945	8434	1	-0.135625	12	0.0042	0.079	0.73	0.86562
KN806579.1	33087	33293	1	-0.192389	15	3.3e-05	0.0051	0.10111	0.2935
KN806624.1	34711	34749	1	-0.224872	13	3.6e-05	0.00091	0.62667	0.85154
KN806638.1	18155	18184	1	-0.133417	10	0.064	0.41	0.35233	0.48575
KN806639.1	11993	12023	1	-0.107500	10	0.05	0.011	0.61	0.7175
KN806770.1	33639	33674	1	0.134167	10	0.00053	0.0097	0.91167	0.7775
KN806776.1	3671	4269	1	0.105167	10	0.061	0.13	0.74367	0.6385
KN806810.1	23270	23415	1	-0.108718	13	0.13	0.32	0.75359	0.86231
KN806815.1	72984	73169	1	0.180917	10	0.0047	0.084	0.86767	0.68675
KN806829.1	29685	29749	1	0.139635	16	5.8e-05	0.0015	0.87417	0.73453
KN806859.1	37792	37955	1	0.123500	10	0.00072	0.0088	0.907	0.7835
KN806864.1	32674	32704	1	-0.102500	10	0.053	0.05	0.596	0.6985
KN806887.1	11768	11812	1	-0.118141	13	0.00019	0.0033	0.69821	0.81635
KN806893.1	11599	11754	1	0.211417	10	0.02	0.0005	0.66967	0.45825
KN806896.1	29663	29684	1	0.105250	10	0.11	0.091	0.417	0.31175
KN806932.1	34456	34488	1	-0.261750	10	1.7e-05	0.00015	0.484	0.74575
