ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm025745,2.088247626,3.27927236,26.8704024,1.82E-05,0.00236705
Funhe2EKm035994,2.465401482,1.9447503,26.4314946,1.88E-05,0.00241491
Funhe2EKm009295,4.098544127,3.56827908,27.7036306,1.95E-05,0.00246471
Funhe2EKm005447,-1.53668939,0.79699318,26.0208636,1.97E-05,0.00246471
Funhe2EKm040174,2.552695658,6.20051615,27.0057336,2.01E-05,0.00249341
Funhe2EKm028394,2.177879819,3.08922779,26.2211566,2.20E-05,0.00268532
Funhe2EKm026568,0.922282504,2.98498105,25.3044448,2.39E-05,0.00287321
Funhe2EKm038583,3.853585894,4.35911985,26.8491868,2.41E-05,0.00287321
Funhe2EKm022751,0.674614132,5.51239761,25.0331051,2.58E-05,0.00303801
Funhe2EKm030767,1.963770476,4.43365317,25.6531961,2.62E-05,0.00303911
Funhe2EKm009110,1.13677808,2.19966376,24.9085208,2.67E-05,0.00303911
Funhe2EKm011293,2.461083086,8.20794519,25.8545772,2.69E-05,0.00303911
Funhe2EKm027835,-1.5245584,1.26200803,24.8638524,2.70E-05,0.00303911
Funhe2EKm032009,0.803549682,6.30893915,24.403726,3.07E-05,0.00341618
Funhe2EKm011819,-1.02290046,2.6505993,24.3378126,3.13E-05,0.0034412
Funhe2EKm023206,0.929903695,3.03812624,24.1296379,3.32E-05,0.00360841
Funhe2EKm001954,1.53992839,2.9959114,23.9507178,3.51E-05,0.00377431
Funhe2EKm025907,1.827442767,5.22217017,24.0323477,3.95E-05,0.00414953
Funhe2EKm001702,-1.52078523,3.73411006,23.6861619,3.95E-05,0.00414953
Funhe2EKm024692,1.703545012,2.07768984,23.4849258,3.98E-05,0.00414953
Funhe2EKm000303,1.766592366,7.88262018,23.8141788,4.03E-05,0.00415769
Funhe2EKm007929,0.74380583,5.97563267,23.0838968,4.46E-05,0.00452412
Funhe2EKm029244,1.046399813,3.67112383,23.0748013,4.48E-05,0.00452412
Funhe2EKm025834,2.361731259,6.84165295,23.8677188,4.53E-05,0.00453163
Funhe2EKm008684,-1.39474045,2.61402706,22.888953,4.72E-05,0.00467769
Funhe2EKm029066,-0.64637623,4.44445541,22.8080785,4.83E-05,0.00474095
Funhe2EKm028762,-1.50073133,3.22847809,22.8293187,4.89E-05,0.00474714
Funhe2EKm038983,1.563082999,3.98958928,22.9825064,4.95E-05,0.00475681
Funhe2EKm000469,1.694094072,2.35872292,22.567394,5.18E-05,0.0049358
Funhe2EKm004168,1.181259362,3.70404493,22.5299858,5.24E-05,0.0049358
Funhe2EKm016137,1.34797965,6.71189502,22.520029,5.28E-05,0.0049358
Funhe2EKm028972,1.3332977,2.86058728,22.4603511,5.35E-05,0.00495065
Funhe2EKm028838,1.132306036,3.17417375,22.3577739,5.51E-05,0.00505384
Funhe2EKm002934,-1.91172655,1.35127432,22.2625076,5.67E-05,0.00511165
Funhe2EKm034320,-1.77847762,2.84900061,22.4755899,5.68E-05,0.00511165
Funhe2EKm011875,-0.68022329,4.14502239,22.2054472,5.76E-05,0.00514137
Funhe2EKm024330,-0.69022326,5.29650167,22.1593818,5.84E-05,0.00516476
Funhe2EKm007506,1.110199168,2.72588347,22.1192413,5.91E-05,0.00517106
Funhe2EKm012096,1.661968291,2.83104162,22.2329026,5.95E-05,0.00517106
Funhe2EKm004805,3.454768144,2.40964525,22.9015333,6.00E-05,0.00517122
Funhe2EKm028301,1.520730037,1.63221959,22.0312832,6.06E-05,0.00517788
Funhe2EKm035215,0.69458321,5.38477402,21.9229689,6.26E-05,0.00530002
Funhe2EKm038981,4.876202614,7.09705055,23.204596,6.34E-05,0.00532581
Funhe2EKm028312,0.860010197,2.83417897,21.7194999,6.65E-05,0.00549421
Funhe2EKm030277,1.493614842,2.30020054,21.7155128,6.66E-05,0.00549421
Funhe2EKm023689,1.027964694,4.39759417,21.4769869,7.14E-05,0.0058487
Funhe2EKm038231,1.035852858,3.85291805,21.2472456,7.65E-05,0.00618477
Funhe2EKm025228,0.935073854,6.06495988,21.2348617,7.68E-05,0.00618477
Funhe2EKm005808,1.683376188,6.16516415,21.4689741,7.89E-05,0.00630497
Funhe2EKm011104,-1.69454116,2.70738756,21.2193659,8.03E-05,0.00636603
Funhe2EKm036417,1.649645202,3.9068031,21.3311957,8.34E-05,0.00652863
Funhe2EKm024674,-0.62069714,4.10636895,20.9480065,8.37E-05,0.00652863
Funhe2EKm035107,-1.5356099,1.9848167,20.8595136,8.60E-05,0.00665274
Funhe2EKm004984,2.417060224,5.63683287,21.615437,8.73E-05,0.00670247
Funhe2EKm031823,-1.7913137,9.40849905,21.2520931,8.80E-05,0.00670247
Funhe2EKm024083,0.66659404,4.90829284,20.6538383,9.15E-05,0.00680685
Funhe2EKm029798,-1.99409951,1.76877784,20.7661905,9.16E-05,0.00680685
Funhe2EKm010402,1.698049797,2.58307179,20.7488143,9.22E-05,0.00680685
Funhe2EKm029439,0.824559969,6.00658348,20.6081146,9.28E-05,0.00680685
Funhe2EKm005459,-1.69673708,4.97027387,21.0456645,9.28E-05,0.00680685
Funhe2EKm037565,1.439510641,2.89173965,20.5202249,9.53E-05,0.00693087
Funhe2EKm035783,1.21677594,2.33165404,20.4999777,9.59E-05,0.00693087
Funhe2EKm028598,0.627865271,3.60145871,20.3105021,0.00010156,0.00728966
Funhe2EKm036747,0.987259648,3.98074329,20.2009511,0.00010502,0.00748375
Funhe2EKm028337,-0.95225399,2.22973385,20.1226139,0.00010757,0.00761081
Funhe2EKm022311,-1.01079344,2.27863077,20.0934824,0.00010854,0.00762467
Funhe2EKm010719,-1.18201217,1.54814749,20.0525676,0.00010991,0.00766669
Funhe2EKm000304,2.112344068,6.38168163,20.5960018,0.00011261,0.0078002
Funhe2EKm005185,0.853200142,4.75474881,19.6043021,0.00012622,0.00868232
Funhe2EKm036952,1.630377942,6.58219024,19.7003489,0.00013417,0.00916497
Funhe2EKm029980,1.651233063,3.41841983,19.645185,0.00013621,0.00920953
Funhe2EKm010120,0.595789702,3.96833703,19.3218232,0.00013783,0.00920953
Funhe2EKm013267,0.80750263,2.37665267,19.3096385,0.00013835,0.00920953
Funhe2EKm036342,-0.54061971,4.20910677,19.2843214,0.00013945,0.00920953
Funhe2EKm027836,1.468434242,5.48580414,19.493717,0.00013947,0.00920953
Funhe2EKm004306,-1.947632,1.79982198,19.1341901,0.00014952,0.00980769
Funhe2EKm037260,1.339065347,2.84098169,19.013362,0.00015182,0.00989301
Funhe2EKm004873,3.235457412,5.3683827,19.854801,0.00015611,0.01010652
Funhe2EKm007618,1.03091903,4.23304988,18.8420756,0.00016024,0.0103061
Funhe2EKm028645,1.115067222,4.95987022,18.7178837,0.00016665,0.01064974
Funhe2EKm035998,-0.91862386,5.10706139,18.6220817,0.00017179,0.01090779
Funhe2EKm033632,1.072570413,5.73703279,18.5669762,0.00017483,0.01102966
Funhe2EKm026174,1.749868549,1.69133942,18.5405844,0.0001763,0.01105219
Funhe2EKm023085,-1.0858177,3.28612002,18.4619186,0.00018077,0.01126114
Funhe2EKm001659,1.930539754,3.21829744,18.7976136,0.00018395,0.01138778
Funhe2EKm037728,-0.69597971,3.0978584,18.3865707,0.00018517,0.01139168
Funhe2EKm035933,1.178342124,3.4088093,18.3058839,0.00019,0.01149984
Funhe2EKm039482,-1.56590131,1.15625227,18.3052353,0.00019004,0.01149984
Funhe2EKm032499,1.362769053,5.48308404,18.4455256,0.00019041,0.01149984
Funhe2EKm000133,-0.50670314,5.64365571,18.240231,0.00019403,0.0116479
Funhe2EKm015118,0.99033582,2.27432243,18.2176843,0.00019544,0.01166166
Funhe2EKm000791,1.313065335,1.36984003,18.1897752,0.0001972,0.01169599
Funhe2EKm006076,-0.57982233,7.18091087,18.1009086,0.0002029,0.01196276
Funhe2EKm024392,0.835056532,2.72079689,17.979827,0.00021096,0.01234181
Funhe2EKm033354,-1.07159133,1.79104429,17.9672009,0.00021182,0.01234181
