ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm008574,1.098673833,1.9257232,12.6924694,0.00130513,0.03863322
Funhe2EKm000394,-1.81821757,2.42779254,12.9078074,0.00130663,0.03863322
Funhe2EKm038665,-0.69562729,2.13875348,12.6743272,0.00131391,0.03873302
Funhe2EKm030764,0.921421578,6.18370433,12.6370055,0.00133218,0.0391551
Funhe2EKm035892,1.9867465,6.20247886,12.979746,0.00134453,0.03928588
Funhe2EKm038074,0.777599725,2.38654081,12.6079181,0.00134661,0.03928588
Funhe2EKm034683,1.041597945,3.07742071,12.5904771,0.00135535,0.03928588
Funhe2EKm038489,0.927851467,3.43990363,12.5864463,0.00135737,0.03928588
Funhe2EKm003006,1.000684647,7.26872151,12.585914,0.00135764,0.03928588
Funhe2EKm009634,-1.17568872,3.22000484,12.6175437,0.00136043,0.03928588
Funhe2EKm032296,1.199327207,2.5560899,12.5819193,0.00136741,0.03931727
Funhe2EKm008575,1.061087098,2.26027568,12.5625501,0.00136946,0.03931727
Funhe2EKm000545,0.837087625,2.35988154,12.5521586,0.00137475,0.0393551
Funhe2EKm031856,1.513795967,1.73483906,12.5597437,0.00137903,0.03936409
Funhe2EKm022790,0.699278035,4.15953318,12.5351397,0.00138346,0.03937691
Funhe2EKm039736,-0.66976859,4.44862876,12.5222404,0.0013901,0.03945263
Funhe2EKm038138,-1.33139322,1.24228093,12.4803141,0.00141193,0.03995773
Funhe2EKm035088,-0.75437941,1.39159593,12.4557501,0.0014249,0.04020967
Funhe2EKm035928,-0.69012819,1.90100087,12.437465,0.00143463,0.04029509
Funhe2EKm006631,1.417469719,2.43836192,12.4977855,0.00143606,0.04029509
Funhe2EKm026805,-0.69966669,4.86742379,12.4158914,0.0014462,0.04046507
Funhe2EKm027275,0.601041358,5.01126814,12.3949132,0.00145755,0.04063069
Funhe2EKm037915,0.787302799,7.52489776,12.3873635,0.00146166,0.04063069
Funhe2EKm028806,-0.45060802,4.43716163,12.3822959,0.00146443,0.04063069
Funhe2EKm033728,-1.20081996,2.04547742,12.3603535,0.00147646,0.04085023
Funhe2EKm006878,-0.78828522,3.09888486,12.3420755,0.00148657,0.04086206
Funhe2EKm029514,1.285035177,2.06945944,12.3412377,0.00148704,0.04086206
Funhe2EKm037175,-0.84364011,6.56562649,12.3372244,0.00148927,0.04086206
Funhe2EKm001001,0.817132904,2.73910395,12.3040263,0.00150786,0.04112322
Funhe2EKm038438,0.898674637,2.07477524,12.2998523,0.00151021,0.04112322
Funhe2EKm027051,-1.27222311,1.09036608,12.2980249,0.00151124,0.04112322
Funhe2EKm000468,-0.99511038,2.87750722,12.2875787,0.00151716,0.04114801
Funhe2EKm002295,-1.16357628,1.14255854,12.2817606,0.00152046,0.04114801
Funhe2EKm038370,0.694765178,6.09311285,12.2688736,0.00152781,0.04123421
Funhe2EKm006624,1.033296219,1.82436161,12.2254761,0.00155284,0.0417958
Funhe2EKm002125,1.034445485,1.77288254,12.1938062,0.00157138,0.04218028
Funhe2EKm033818,-0.91849359,1.79904116,12.1687362,0.00158623,0.04246377
Funhe2EKm039947,0.504903452,5.82872111,12.1562532,0.00159368,0.0425482
Funhe2EKm028328,-0.72938761,2.41012167,12.1480304,0.00159861,0.04256503
Funhe2EKm006356,-0.7997461,1.73738634,12.1070292,0.00162342,0.04310995
Funhe2EKm039978,0.815717868,3.94909793,12.0850176,0.00163692,0.04335207
Funhe2EKm006954,1.71836129,5.44293767,12.366544,0.0016426,0.04338661
Funhe2EKm029582,1.044480223,1.57475802,12.0563845,0.00165465,0.04358867
Funhe2EKm027353,1.997351203,3.18986244,12.3406193,0.00166364,0.0437092
Funhe2EKm033441,-1.02983318,2.29346731,12.0101006,0.00168376,0.04409607
Funhe2EKm002900,1.067418467,4.14644826,12.0706189,0.00168727,0.04409607
Funhe2EKm005868,0.909983814,11.3196434,11.9775499,0.00171112,0.04456208
Funhe2EKm007279,1.360019424,9.37050091,12.1395263,0.00171523,0.04456208
Funhe2EKm033513,-0.67903367,6.52560527,11.9535736,0.00172006,0.04456208
Funhe2EKm023886,0.848066631,6.605798,11.9489037,0.0017231,0.04456208
Funhe2EKm008637,0.889503694,2.58543118,11.9319829,0.00173415,0.04462248
Funhe2EKm003890,0.7345893,3.19234157,11.9315331,0.00173444,0.04462248
Funhe2EKm038373,-0.98628131,3.17113919,11.8687162,0.00177615,0.04547002
Funhe2EKm027772,-1.32332223,0.95123619,11.8680922,0.00177657,0.04547002
Funhe2EKm034327,0.98456637,5.0917451,11.8687767,0.00180261,0.04597632
Funhe2EKm024596,-0.4991293,8.58132935,11.8252571,0.00180563,0.04597632
Funhe2EKm003436,1.340774279,5.85558501,11.9547588,0.00182878,0.04631555
Funhe2EKm029335,-0.89389142,2.16319226,11.7831637,0.00183469,0.04631555
Funhe2EKm040504,-1.58071473,1.24234614,11.7820293,0.00183549,0.04631555
Funhe2EKm026018,0.867565042,2.92863086,11.7789111,0.00183766,0.04631555
Funhe2EKm006719,-0.87814913,3.62790085,11.7465366,0.00186039,0.04676954
Funhe2EKm026265,0.506325916,4.99378963,11.7045647,0.00189032,0.04740159
Funhe2EKm008383,0.659589044,2.69879771,11.6690985,0.00191601,0.04792455
Funhe2EKm030165,0.777654368,2.05893558,11.6416921,0.00193613,0.04804056
Funhe2EKm010566,-0.78303764,3.5548356,11.6384567,0.00193852,0.04804056
Funhe2EKm012047,-1.62772285,2.66972601,11.8079287,0.00193994,0.04804056
Funhe2EKm002802,-1.13489696,5.17861961,11.7264725,0.00194005,0.04804056
Funhe2EKm037252,1.128942517,4.92596858,11.723427,0.00194686,0.04808898
Funhe2EKm034053,-0.93609977,4.55359994,11.6364601,0.00195675,0.04821287
Funhe2EKm004534l2,1.170348819,1.39495606,11.5938542,0.00197178,0.04846274
Funhe2EKm007393,0.770680403,4.89949447,11.5855945,0.00197801,0.04849547
Funhe2EKm025380,0.792134148,2.35394394,11.5733267,0.0019873,0.04860289
Funhe2EKm014831,0.588342659,3.83286061,11.5514952,0.00200394,0.04878599
Funhe2EKm035980,0.817025504,2.10743813,11.5491939,0.00200571,0.04878599
Funhe2EKm024434,-0.57932604,3.53622128,11.5441728,0.00200956,0.04878599
Funhe2EKm030267,0.788674368,1.22165564,11.5165477,0.0020309,0.04918262
Funhe2EKm008674,-0.67713159,1.81674302,11.5089348,0.00203683,0.04918262
Funhe2EKm000491,0.73624597,3.64868512,11.4977293,0.00204558,0.04918262
Funhe2EKm001218,-0.90241225,3.83718008,11.4975048,0.00204576,0.04918262
Funhe2EKm003464,1.081339355,3.29569402,11.5300989,0.00205546,0.04919247
Funhe2EKm032267,-0.71275527,2.26253567,11.4794184,0.00205998,0.04919247
Funhe2EKm023214,0.475984322,3.41330809,11.4780357,0.00206107,0.04919247
Funhe2EKm018215,-0.66204968,3.16705342,11.46904,0.00206818,0.04924363
Funhe2EKm009581,-1.08422698,1.34728898,11.4366635,0.00209401,0.04973905
